trek_code,company_name,customer_segment,total_credit_eur,total_debit_eur,tx_count,last_transaction_date
10002,,,4691693.5,3625.0,310,2026-05-29
10041,,,4502525.37,135627.09,336,2026-05-29
10022,,,2328657.44,0.0,222,2026-05-26
10032,,,2075110.51,0.0,219,2026-05-29
10004,,,1899622.55,8328.0,160,2026-05-27
59304,,,1690206.58,23760.0,135,2026-05-21
10035,,,1570946.5,0.0,103,2026-04-23
10064,,,1462982.42,44000.0,127,2026-05-29
59957,,,1382441.71,81300.0,48,2026-05-06
10069,,,1375873.45,236.0,64,2026-03-11
59128,,,1338754.1,18600.0,94,2026-05-22
10048,,,1089932.42,34382.12,250,2026-05-20
58840,,,958415.72,1140.16,89,2026-03-22
59116,,,893954.99,0.0,31,2026-05-18
58547,,,869174.93,49624.0,36,2026-05-04
10016,,,740238.35,0.0,566,2026-05-29
59959,,,696806.13,101125.0,49,2026-05-06
10015,,,671239.25,0.0,27,2026-03-31
10037,,,604160.69,0.0,43,2026-05-08
58556,,,598083.81,0.0,156,2026-05-20
59085,,,589419.01,6450.0,48,2026-03-09
10039,,,581070.34,10000.0,59,2026-04-14
10053,,,552557.29,84064.47,96,2026-05-29
59646,,,500200.0,0.0,17,2026-05-13
10028,,,499739.36,5353.5,118,2026-05-20
10026,,,473191.63,0.0,30,2025-10-17
60108,,,471699.46,300.0,21,2025-11-05
59122,,,437614.25,0.0,26,2025-12-05
59910,,,393904.8,833.67,33,2025-02-28
58481,,,347322.3,62964.0,28,2026-05-18
10027,,,332982.09,0.0,73,2026-04-09
10050,,,327784.92,0.0,57,2026-05-27
60156,,,322658.0,0.0,7,2026-02-06
59666,,,315133.26,0.0,25,2025-04-17
59668,,,314156.42,648.39,148,2026-05-18
58549,,,311230.0,0.0,9,2026-05-19
60090,,,308684.97,0.0,97,2026-03-24
59332,,,307912.4,0.0,10,2023-11-02
10036,,,277674.0,0.0,16,2026-04-29
59061,,,269665.98,0.0,15,2025-01-09
59542,,,240316.98,0.0,24,2026-05-28
